Date,Harris_GeneralBedUsing,Harris_CovidBed
3/19/20,2496,60
3/20/20,2239,80
3/21/20,1821,94
3/22/20,1667,113
3/23/20,3368,126
3/24/20,5093,190
3/25/20,4544,169
3/26/20,3672,159
3/27/20,4045,123
3/28/20,3737,178
3/29/20,3684,153
3/30/20,4163,200
3/31/20,4248,212
4/1/20,3807,173
4/2/20,3635,178
4/3/20,4412,316
4/4/20,4177,384
4/5/20,3518,347
4/6/20,3494,382
4/7/20,4243,430
4/8/20,4068,419
4/9/20,5461,490
4/10/20,3845,454
4/11/20,4059,409
4/12/20,2794,270
4/13/20,4565,443
4/14/20,4405,420
4/15/20,4570,374
4/16/20,4124,332
4/17/20,3913,272
4/18/20,4177,383
4/19/20,4894,390
4/20/20,4379,424
4/21/20,4328,383
4/22/20,4567,401
4/23/20,4965,402
4/24/20,5113,384
4/25/20,4888,368
4/26/20,4222,352
4/27/20,4887,385
4/28/20,5079,403
4/29/20,4919,336
4/30/20,5462,361
5/1/20,5308,390
5/2/20,3917,304
5/3/20,4664,369
5/4/20,5017,426
5/5/20,5350,400
5/6/20,5755,388
5/7/20,5515,375
5/8/20,5870,374
5/9/20,5224,401
5/10/20,4440,332
5/11/20,4795,344
5/12/20,5815,381
5/13/20,5430,331
5/14/20,6121,360
5/15/20,6238,413
5/16/20,5052,303
5/17/20,5571,303
5/18/20,5148,298
5/19/20,5842,378
5/20/20,5920,360
5/21/20,5826,339
5/22/20,5810,314
5/23/20,5664,325
5/24/20,5000,284
5/25/20,5341,308
5/26/20,5139,311
5/27/20,5514,281
5/28/20,6671,316
5/29/20,6579,355
5/30/20,5529,284
5/31/20,5442,327
6/1/20,5559,375
6/2/20,6331,394
6/3/20,5830,402
6/4/20,6746,410
6/5/20,6138,380
6/6/20,5850,460
6/7/20,6151,441
6/8/20,6210,476
6/9/20,6434,496
6/10/20,6752,499
6/11/20,6677,520
6/12/20,6997,548
6/13/20,6217,592
6/14/20,5774,621
6/15/20,6314,628
6/16/20,6451,690
6/17/20,6937,746
6/18/20,7032,793
6/19/20,7149,826
6/20/20,6740,845
6/21/20,6246,845
6/22/20,6444,957
6/23/20,7009,1124
6/24/20,7308,1143
6/25/20,7287,1231
6/26/20,7177,1248
6/27/20,6570,1315
6/28/20,6461,1360
6/29/20,6525,1560
